Id,TITLE,ABSTRACT,INTRODUCTION TO IS,DATA & KNOWLEDGE MANAGEMENT,ETHICAL ISSUES & PRIVACY,SOCIAL COMPUTING,COMPUTER NETWORKS,IS WITHIN ORGANIZATION,COMPUTER SCIENCE
140,An Effective Framework for Constructing Exponent Lattice Basis of Nonzero Algebraic Numbers,"Computing a basis for the exponent lattice of algebraic numbers is a basic
 problem in the field of computational number theory with applications to many
 other areas. The main cost of a well-known algorithm
 \cite{ge1993algorithms,kauers2005algorithms} solving the problem is on
 computing the primitive element of the extended field generated by the given
 algebraic numbers. When the extended field is of large degree, the problem
 seems intractable by the tool implementing the algorithm. In this paper, a
 special kind of exponent lattice basis is introduced. An important feature of
 the basis is that it can be inductively constructed, which allows us to deal
 with the given algebraic numbers one by one when computing the basis. Based on
 this, an effective framework for constructing exponent lattice basis is
 proposed. Through computing a so-called pre-basis first and then solving some
 linear Diophantine equations, the basis can be efficiently constructed. A new
 certificate for multiplicative independence and some techniques for decreasing
 degrees of algebraic numbers are provided to speed up the computation. The new
 algorithm has been implemented with Mathematica and its effectiveness is
 verified by testing various examples. Moreover, the algorithm is applied to
 program verification for finding invariants of linear loops.",1,0,0,0,0,0,
141,Competing evolutionary paths in growing populations with applications to multidrug resistance,"Investigating the emergence of a particular cell type is a recurring theme in
 models of growing cellular populations. The evolution of resistance to therapy
 is a classic example. Common questions are: when does the cell type first
 occur, and via which sequence of steps is it most likely to emerge? For growing
 populations, these questions can be formulated in a general framework of
 branching processes spreading through a graph from a root to a target vertex.
 Cells have a particular fitness value on each vertex and can transition along
 edges at specific rates. Vertices represents cell states, say \mic{genotypes
 }or physical locations, while possible transitions are acquiring a mutation or
 cell migration. We focus on the setting where cells at the root vertex have the
 highest fitness and transition rates are small. Simple formulas are derived for
 the time to reach the target vertex and for the probability that it is reached
 along a given path in the graph. We demonstrate our results on \mic{several
 scenarios relevant to the emergence of drug resistance}, including: the
 orderings of resistance-conferring mutations in bacteria and the impact of
 imperfect drug penetration in cancer.",0,0,0,0,1,0,
142,Transient flows in active porous media,"Stimuli-responsive materials that modify their shape in response to changes
 in environmental conditions -- such as solute concentration, temperature, pH,
 and stress -- are widespread in nature and technology. Applications include
 micro- and nanoporous materials used in filtration and flow control. The
 physiochemical mechanisms that induce internal volume modifications have been
 widely studies. The coupling between induced volume changes and solute
 transport through porous materials, however, is not well understood. Here, we
 consider advective and diffusive transport through a small channel linking two
 large reservoirs. A section of stimulus-responsive material regulates the
 channel permeability, which is a function of the local solute concentration. We
 derive an exact solution to the coupled transport problem and demonstrate the
 existence of a flow regime in which the steady state is reached via a damped
 oscillation around the equilibrium concentration value. Finally, the
 feasibility of an experimental observation of the phenomena is discussed.
 Please note that this version of the paper has not been formally peer reviewed,
 revised or accepted by a journal.",0,1,0,0,0,0,
143,An information model for modular robots: the Hardware Robot Information Model (HRIM),"Today's landscape of robotics is dominated by vertical integration where
 single vendors develop the final product leading to slow progress, expensive
 products and customer lock-in. Opposite to this, an horizontal integration
 would result in a rapid development of cost-effective mass-market products with
 an additional consumer empowerment. The transition of an industry from vertical
 integration to horizontal integration is typically catalysed by de facto
 industry standards that enable a simplified and seamless integration of
 products. However, in robotics there is currently no leading candidate for a
 global plug-and-play standard.
 This paper tackles the problem of incompatibility between robot components
 that hinder the reconfigurability and flexibility demanded by the robotics
 industry. Particularly, it presents a model to create plug-and-play robot
 hardware components. Rather than iteratively evolving previous ontologies, our
 proposed model answers the needs identified by the industry while facilitating
 interoperability, measurability and comparability of robotics technology. Our
 approach differs significantly with the ones presented before as it is
 hardware-oriented and establishes a clear set of actions towards the
 integration of this model in real environments and with real manufacturers.",1,0,0,0,0,0,
144,Detecting Adversarial Samples Using Density Ratio Estimates,"Machine learning models, especially based on deep architectures are used in
 everyday applications ranging from self driving cars to medical diagnostics. It
 has been shown that such models are dangerously susceptible to adversarial
 samples, indistinguishable from real samples to human eye, adversarial samples
 lead to incorrect classifications with high confidence. Impact of adversarial
 samples is far-reaching and their efficient detection remains an open problem.
 We propose to use direct density ratio estimation as an efficient model
 agnostic measure to detect adversarial samples. Our proposed method works
 equally well with single and multi-channel samples, and with different
 adversarial sample generation methods. We also propose a method to use density
 ratio estimates for generating adversarial samples with an added constraint of
 preserving density ratio.",1,0,0,1,0,0,
145,The Query Complexity of Cake Cutting,"We study the query complexity of cake cutting and give lower and upper bounds
 for computing approximately envy-free, perfect, and equitable allocations with
 the minimum number of cuts. The lower bounds are tight for computing connected
 envy-free allocations among n=3 players and for computing perfect and equitable
 allocations with minimum number of cuts between n=2 players.
 We also formalize moving knife procedures and show that a large subclass of
 this family, which captures all the known moving knife procedures, can be
 simulated efficiently with arbitrarily small error in the Robertson-Webb query
 model.",1,0,0,0,0,0,
146,Stacked Convolutional and Recurrent Neural Networks for Music Emotion Recognition,"This paper studies the emotion recognition from musical tracks in the
 2-dimensional valence-arousal (V-A) emotional space. We propose a method based
 on convolutional (CNN) and recurrent neural networks (RNN), having
 significantly fewer parameters compared with the state-of-the-art method for
 the same task. We utilize one CNN layer followed by two branches of RNNs
 trained separately for arousal and valence. The method was evaluated using the
 'MediaEval2015 emotion in music' dataset. We achieved an RMSE of 0.202 for
 arousal and 0.268 for valence, which is the best result reported on this
 dataset.",1,0,0,0,0,0,
147,Timed Automata with Polynomial Delay and their Expressiveness,"We consider previous models of Timed, Probabilistic and Stochastic Timed
 Automata, we introduce our model of Timed Automata with Polynomial Delay and we
 characterize the expressiveness of these models relative to each other.",1,0,0,0,0,0,
148,Superconducting properties of Cu intercalated Bi$_2$Se$_3$ studied by Muon Spin Spectroscopy,"We present muon spin rotation measurements on superconducting Cu intercalated
 Bi$_2$Se$_3$, which was suggested as a realization of a topological
 superconductor. We observe a clear evidence of the superconducting transition
 below 4 K, where the width of magnetic field distribution increases as the
 temperature is decreased. The measured broadening at mK temperatures suggests a
 large London penetration depth in the $ab$ plane ($\lambda_{\mathrm{eff}}\sim
 1.6$ $\mathrm{\mu}$m). We show that the temperature dependence of this
 broadening follows the BCS prediction, but could be consistent with several gap
 symmetries.",0,1,0,0,0,0,
149,Time-domain THz spectroscopy reveals coupled protein-hydration dielectric response in solutions of native and fibrils of human lyso-zyme,"Here we reveal details of the interaction between human lysozyme proteins,
 both native and fibrils, and their water environment by intense terahertz time
 domain spectroscopy. With the aid of a rigorous dielectric model, we determine
 the amplitude and phase of the oscillating dipole induced by the THz field in
 the volume containing the protein and its hydration water. At low
 concentrations, the amplitude of this induced dipolar response decreases with
 increasing concentration. Beyond a certain threshold, marking the onset of the
 interactions between the extended hydration shells, the amplitude remains fixed
 but the phase of the induced dipolar response, which is initially in phase with
 the applied THz field, begins to change. The changes observed in the THz
 response reveal protein-protein interactions me-diated by extended hydration
 layers, which may control fibril formation and may have an important role in
 chemical recognition phenomena.",0,1,0,0,0,0,
150,Inversion of Qubit Energy Levels in Qubit-Oscillator Circuits in the Deep-Strong-Coupling Regime,"We report on experimentally measured light shifts of superconducting flux
 qubits deep-strongly coupled to LC oscillators, where the coupling constants
 are comparable to the qubit and oscillator resonance frequencies. By using
 two-tone spectroscopy, the energies of the six lowest levels of each circuit
 are determined. We find huge Lamb shifts that exceed 90% of the bare qubit
 frequencies and inversions of the qubits' ground and excited states when there
 are a finite number of photons in the oscillator. Our experimental results
 agree with theoretical predictions based on the quantum Rabi model.",0,1,0,0,0,0,
151,Deep Multiple Instance Feature Learning via Variational Autoencoder,"We describe a novel weakly supervised deep learning framework that combines
 both the discriminative and generative models to learn meaningful
 representation in the multiple instance learning (MIL) setting. MIL is a weakly
 supervised learning problem where labels are associated with groups of
 instances (referred as bags) instead of individual instances. To address the
 essential challenge in MIL problems raised from the uncertainty of positive
 instances label, we use a discriminative model regularized by variational
 autoencoders (VAEs) to maximize the differences between latent representations
 of all instances and negative instances. As a result, the hidden layer of the
 variational autoencoder learns meaningful representation. This representation
 can effectively be used for MIL problems as illustrated by better performance
 on the standard benchmark datasets comparing to the state-of-the-art
 approaches. More importantly, unlike most related studies, the proposed
 framework can be easily scaled to large dataset problems, as illustrated by the
 audio event detection and segmentation task. Visualization also confirms the
 effectiveness of the latent representation in discriminating positive and
 negative classes.",0,0,0,1,0,0,
152,Regularity of envelopes in K??hler classes,"We establish the C^{1,1} regularity of quasi-psh envelopes in a Kahler class,
 confirming a conjecture of Berman.",0,0,1,0,0,0,
153,$S^1$-equivariant Index theorems and Morse inequalities on complex manifolds with boundary,"Let $M$ be a complex manifold of dimension $n$ with smooth connected boundary
 $X$. Assume that $\overline M$ admits a holomorphic $S^1$-action preserving the
 boundary $X$ and the $S^1$-action is transversal and CR on $X$. We show that
 the $\overline\partial$-Neumann Laplacian on $M$ is transversally elliptic and
 as a consequence, the $m$-th Fourier component of the $q$-th Dolbeault
 cohomology group $H^q_m(\overline M)$ is finite dimensional, for every
 $m\in\mathbb Z$ and every $q=0,1,\ldots,n$. This enables us to define
 $\sum^{n}_{j=0}(-1)^j{\rm dim\,}H^q_m(\overline M)$ the $m$-th Fourier
 component of the Euler characteristic on $M$ and to study large $m$-behavior of
 $H^q_m(\overline M)$. In this paper, we establish an index formula for
 $\sum^{n}_{j=0}(-1)^j{\rm dim\,}H^q_m(\overline M)$ and Morse inequalities for
 $H^q_m(\overline M)$.",0,0,1,0,0,0,
154,Internal Model from Observations for Reward Shaping,"Reinforcement learning methods require careful design involving a reward
 function to obtain the desired action policy for a given task. In the absence
 of hand-crafted reward functions, prior work on the topic has proposed several
 methods for reward estimation by using expert state trajectories and action
 pairs. However, there are cases where complete or good action information
 cannot be obtained from expert demonstrations. We propose a novel reinforcement
 learning method in which the agent learns an internal model of observation on
 the basis of expert-demonstrated state trajectories to estimate rewards without
 completely learning the dynamics of the external environment from state-action
 pairs. The internal model is obtained in the form of a predictive model for the
 given expert state distribution. During reinforcement learning, the agent
 predicts the reward as a function of the difference between the actual state
 and the state predicted by the internal model. We conducted multiple
 experiments in environments of varying complexity, including the Super Mario
 Bros and Flappy Bird games. We show our method successfully trains good
 policies directly from expert game-play videos.",1,0,0,1,0,0,
155,Characterizations of quasitrivial symmetric nondecreasing associative operations,"In this paper we are interested in the class of n-ary operations on an
 arbitrary chain that are quasitrivial, symmetric, nondecreasing, and
 associative. We first provide a description of these operations. We then prove
 that associativity can be replaced with bisymmetry in the definition of this
 class. Finally we investigate the special situation where the chain is finite.",0,0,1,0,0,0,
156,Multivariate Dependency Measure based on Copula and Gaussian Kernel,"We propose a new multivariate dependency measure. It is obtained by
 considering a Gaussian kernel based distance between the copula transform of
 the given d-dimensional distribution and the uniform copula and then
 appropriately normalizing it. The resulting measure is shown to satisfy a
 number of desirable properties. A nonparametric estimate is proposed for this
 dependency measure and its properties (finite sample as well as asymptotic) are
 derived. Some comparative studies of the proposed dependency measure estimate
 with some widely used dependency measure estimates on artificial datasets are
 included. A non-parametric test of independence between two or more random
 variables based on this measure is proposed. A comparison of the proposed test
 with some existing nonparametric multivariate test for independence is
 presented.",0,0,1,1,0,0,
157,The nature of the tensor order in Cd2Re2O7,"The pyrochlore metal Cd2Re2O7 has been recently investigated by
 second-harmonic generation (SHG) reflectivity. In this paper, we develop a
 general formalism that allows for the identification of the relevant tensor
 components of the SHG from azimuthal scans. We demonstrate that the secondary
 order parameter identified by SHG at the structural phase transition is the
 x2-y2 component of the axial toroidal quadrupole. This differs from the 3z2-r2
 symmetry of the atomic displacements associated with the I-4m2 crystal
 structure that was previously thought to be its origin. Within the same
 formalism, we suggest that the primary order parameter detected in the SHG
 experiment is the 3z2-r2 component of the magnetic quadrupole. We discuss the
 general mechanism driving the phase transition in our proposed framework, and
 suggest experiments, particularly resonant X-ray scattering ones, that could
 clarify this issue.",0,1,0,0,0,0,
158,Efficient and consistent inference of ancestral sequences in an evolutionary model with insertions and deletions under dense taxon sampling,"In evolutionary biology, the speciation history of living organisms is
 represented graphically by a phylogeny, that is, a rooted tree whose leaves
 correspond to current species and branchings indicate past speciation events.
 Phylogenies are commonly estimated from molecular sequences, such as DNA
 sequences, collected from the species of interest. At a high level, the idea
 behind this inference is simple: the further apart in the Tree of Life are two
 species, the greater is the number of mutations to have accumulated in their
 genomes since their most recent common ancestor. In order to obtain accurate
 estimates in phylogenetic analyses, it is standard practice to employ
 statistical approaches based on stochastic models of sequence evolution on a
 tree. For tractability, such models necessarily make simplifying assumptions
 about the evolutionary mechanisms involved. In particular, commonly omitted are
 insertions and deletions of nucleotides -- also known as indels.
 Properly accounting for indels in statistical phylogenetic analyses remains a
 major challenge in computational evolutionary biology. Here we consider the
 problem of reconstructing ancestral sequences on a known phylogeny in a model
 of sequence evolution incorporating nucleotide substitutions, insertions and
 deletions, specifically the classical TKF91 process. We focus on the case of
 dense phylogenies of bounded height, which we refer to as the taxon-rich
 setting, where statistical consistency is achievable. We give the first
 polynomial-time ancestral reconstruction algorithm with provable guarantees
 under constant rates of mutation. Our algorithm succeeds when the phylogeny
 satisfies the ""big bang"" condition, a necessary and sufficient condition for
 statistical consistency in this context.",1,0,1,1,0,0,
159,Flow Characteristics and Cores of Complex Network and Multiplex Type Systems,"Subject of research is complex networks and network systems. The network
 system is defined as a complex network in which flows are moved. Classification
 of flows in the network is carried out on the basis of ordering and continuity.
 It is shown that complex networks with different types of flows generate
 various network systems. Flow analogues of the basic concepts of the theory of
 complex networks are introduced and the main problems of this theory in terms
 of flow characteristics are formulated. Local and global flow characteristics
 of networks bring closer the theory of complex networks to the systems theory
 and systems analysis. Concept of flow core of network system is introduced and
 defined how it simplifies the process of its investigation. Concepts of kernel
 and flow core of multiplex are determined. Features of operation of multiplex
 type systems are analyzed.",1,1,0,0,0,0,
160,Pattern-forming fronts in a Swift-Hohenberg equation with directional quenching - parallel and oblique stripes,"We study the effect of domain growth on the orientation of striped phases in
 a Swift-Hohenberg equation. Domain growth is encoded in a step-like parameter
 dependence that allows stripe formation in a half plane, and suppresses
 patterns in the complement, while the boundary of the pattern-forming region is
 propagating with fixed normal velocity. We construct front solutions that leave
 behind stripes in the pattern-forming region that are parallel to or at a small
 oblique angle to the boundary.
 Technically, the construction of stripe formation parallel to the boundary
 relies on ill-posed, infinite-dimensional spatial dynamics. Stripes forming at
 a small oblique angle are constructed using a functional-analytic, perturbative
 approach. Here, the main difficulties are the presence of continuous spectrum
 and the fact that small oblique angles appear as a singular perturbation in a
 traveling-wave problem. We resolve the former difficulty using a farfield-core
 decomposition and Fredholm theory in weighted spaces. The singular perturbation
 problem is resolved using preconditioners and boot-strapping.",0,1,0,0,0,0,
161,Generalized Minimum Distance Estimators in Linear Regression with Dependent Errors,"This paper discusses minimum distance estimation method in the linear
 regression model with dependent errors which are strongly mixing. The
 regression parameters are estimated through the minimum distance estimation
 method, and asymptotic distributional properties of the estimators are
 discussed. A simulation study compares the performance of the minimum distance
 estimator with other well celebrated estimator. This simulation study shows the
 superiority of the minimum distance estimator over another estimator. KoulMde
 (R package) which was used for the simulation study is available online. See
 section 4 for the detail.",0,0,1,1,0,0,
162,Live Service Migration in Mobile Edge Clouds,"Mobile edge clouds (MECs) bring the benefits of the cloud closer to the user,
 by installing small cloud infrastructures at the network edge. This enables a
 new breed of real-time applications, such as instantaneous object recognition
 and safety assistance in intelligent transportation systems, that require very
 low latency. One key issue that comes with proximity is how to ensure that
 users always receive good performance as they move across different locations.
 Migrating services between MECs is seen as the means to achieve this. This
 article presents a layered framework for migrating active service applications
 that are encapsulated either in virtual machines (VMs) or containers. This
 layering approach allows a substantial reduction in service downtime. The
 framework is easy to implement using readily available technologies, and one of
 its key advantages is that it supports containers, which is a promising
 emerging technology that offers tangible benefits over VMs. The migration
 performance of various real applications is evaluated by experiments under the
 presented framework. Insights drawn from the experimentation results are
 discussed.",1,0,0,0,0,0,
163,Induced density correlations in a sonic black hole condensate,"Analog black/white hole pairs, consisting of a region of supersonic flow,
 have been achieved in a recent experiment by J. Steinhauer using an elongated
 Bose-Einstein condensate. A growing standing density wave, and a checkerboard
 feature in the density-density correlation function, were observed in the
 supersonic region. We model the density-density correlation function, taking
 into account both quantum fluctuations and the shot-to-shot variation of atom
 number normally present in ultracold-atom experiments. We find that quantum
 fluctuations alone produce some, but not all, of the features of the
 correlation function, whereas atom-number fluctuation alone can produce all the
 observed features, and agreement is best when both are included. In both cases,
 the density-density correlation is not intrinsic to the fluctuations, but
 rather is induced by modulation of the standing wave caused by the
 fluctuations.",0,1,0,0,0,0,
164,Genus growth in $\mathbb{Z}_p$-towers of function fields,"Let $K$ be a function field over a finite field $k$ of characteristic $p$ and
 let $K_{\infty}/K$ be a geometric extension with Galois group $\mathbb{Z}_p$.
 Let $K_n$ be the corresponding subextension with Galois group
 $\mathbb{Z}/p^n\mathbb{Z}$ and genus $g_n$. In this paper, we give a simple
 explicit formula $g_n$ in terms of an explicit Witt vector construction of the
 $\mathbb{Z}_p$-tower. This formula leads to a tight lower bound on $g_n$ which
 is quadratic in $p^n$. Furthermore, we determine all $\mathbb{Z}_p$-towers for
 which the genus sequence is stable, in the sense that there are $a,b,c \in
 \mathbb{Q}$ such that $g_n=a p^{2n}+b p^n +c$ for $n$ large enough. Such genus
 stable towers are expected to have strong stable arithmetic properties for
 their zeta functions. A key technical contribution of this work is a new
 simplified formula for the Schmid-Witt symbol coming from local class field
 theory.",0,0,1,0,0,0,
165,Topological Phases emerging from Spin-Orbital Physics,"We study the evolution of spin-orbital correlations in an inhomogeneous
 quantum system with an impurity replacing a doublon by a holon orbital degree
 of freedom. Spin-orbital entanglement is large when spin correlations are
 antiferromagnetic, while for a ferromagnetic host we obtain a pure orbital
 description. In this regime the orbital model can be mapped on spinless
 fermions and we uncover topological phases with zero energy modes at the edge
 or at the domain between magnetically inequivalent regions.",0,1,0,0,0,0,
166,"Accurate and Diverse Sampling of Sequences based on a ""Best of Many"" Sample Objective","For autonomous agents to successfully operate in the real world, anticipation
 of future events and states of their environment is a key competence. This
 problem has been formalized as a sequence extrapolation problem, where a number
 of observations are used to predict the sequence into the future. Real-world
 scenarios demand a model of uncertainty of such predictions, as predictions
 become increasingly uncertain -- in particular on long time horizons. While
 impressive results have been shown on point estimates, scenarios that induce
 multi-modal distributions over future sequences remain challenging. Our work
 addresses these challenges in a Gaussian Latent Variable model for sequence
 prediction. Our core contribution is a ""Best of Many"" sample objective that
 leads to more accurate and more diverse predictions that better capture the
 true variations in real-world sequence data. Beyond our analysis of improved
 model fit, our models also empirically outperform prior work on three diverse
 tasks ranging from traffic scenes to weather data.",0,0,0,1,0,0,
167,Exploring RNN-Transducer for Chinese Speech Recognition,"End-to-end approaches have drawn much attention recently for significantly
 simplifying the construction of an automatic speech recognition (ASR) system.
 RNN transducer (RNN-T) is one of the popular end-to-end methods. Previous
 studies have shown that RNN-T is difficult to train and a very complex training
 process is needed for a reasonable performance. In this paper, we explore RNN-T
 for a Chinese large vocabulary continuous speech recognition (LVCSR) task and
 aim to simplify the training process while maintaining performance. First, a
 new strategy of learning rate decay is proposed to accelerate the model
 convergence. Second, we find that adding convolutional layers at the beginning
 of the network and using ordered data can discard the pre-training process of
 the encoder without loss of performance. Besides, we design experiments to find
 a balance among the usage of GPU memory, training circle and model performance.
 Finally, we achieve 16.9% character error rate (CER) on our test set which is
 2% absolute improvement from a strong BLSTM CE system with language model
 trained on the same text corpus.",1,0,0,0,0,0,
168,A Debt-Aware Learning Approach for Resource Adaptations in Cloud Elasticity Management,"Elasticity is a cloud property that enables applications and its execution
 systems to dynamically acquire and release shared computational resources on
 demand. Moreover, it unfolds the advantage of economies of scale in the cloud
 through a drop in the average costs of these shared resources. However, it is
 still an open challenge to achieve a perfect match between resource demand and
 provision in autonomous elasticity management. Resource adaptation decisions
 essentially involve a trade-off between economics and performance, which
 produces a gap between the ideal and actual resource provisioning. This gap, if
 not properly managed, can negatively impact the aggregate utility of a cloud
 customer in the long run. To address this limitation, we propose a technical
 debt-aware learning approach for autonomous elasticity management based on a
 reinforcement learning of elasticity debts in resource provisioning; the
 adaptation pursues strategic decisions that trades off economics against
 performance. We extend CloudSim and Burlap to evaluate our approach. The
 evaluation shows that a reinforcement learning of technical debts in elasticity
 obtains a higher utility for a cloud customer, while conforming expected levels
 of performance.",1,0,0,0,0,0,
169,Semi-simplicial spaces,"This is an exposition of homotopical results on the geometric realization of
 semi-simplicial spaces. We then use these to derive basic foundational results
 about classifying spaces of topological categories, possibly without units. The
 topics considered include: fibrancy conditions on topological categories; the
 effect on classifying spaces of freely adjoining units; approximate notions of
 units; Quillen's Theorems A and B for non-unital topological categories; the
 effect on classifying spaces of changing the topology on the space of objects;
 the Group-Completion Theorem.",0,0,1,0,0,0,
170,"Constraints, Lazy Constraints, or Propagators in ASP Solving: An Empirical Analysis","Answer Set Programming (ASP) is a well-established declarative paradigm. One
 of the successes of ASP is the availability of efficient systems.
 State-of-the-art systems are based on the ground+solve approach. In some
 applications this approach is infeasible because the grounding of one or few
 constraints is expensive. In this paper, we systematically compare alternative
 strategies to avoid the instantiation of problematic constraints, that are
 based on custom extensions of the solver. Results on real and synthetic
 benchmarks highlight some strengths and weaknesses of the different strategies.
 (Under consideration for acceptance in TPLP, ICLP 2017 Special Issue.)",1,0,0,0,0,0,
171,A Unified Approach to Nonlinear Transformation Materials,"The advances in geometric approaches to optical devices due to transformation
 optics has led to the development of cloaks, concentrators, and other devices.
 It has also been shown that transformation optics can be used to gravitational
 fields from general relativity. However, the technique is currently constrained
 to linear devices, as a consistent approach to nonlinearity (including both the
 case of a nonlinear background medium and a nonlinear transformation) remains
 an open question. Here we show that nonlinearity can be incorporated into
 transformation optics in a consistent way. We use this to illustrate a number
 of novel effects, including cloaking an optical soliton, modeling nonlinear
 solutions to Einstein's field equations, controlling transport in a Debye
 solid, and developing a set of constitutive to relations for relativistic
 cloaks in arbitrary nonlinear backgrounds.",0,1,0,0,0,0,
172,Stationary crack propagation in a two-dimensional visco-elastic network model,"We investigate crack propagation in a simple two-dimensional visco-elastic
 model and find a scaling regime in the relation between the propagation
 velocity and energy release rate or fracture energy, together with lower and
 upper bounds of the scaling regime. On the basis of our result, the existence
 of the lower and upper bounds is expected to be universal or model-independent:
 the present simple simulation model provides generic insight into the physics
 of crack propagation, and the model will be a first step towards the
 development of a more refined coarse-grained model. Relatively abrupt changes
 of velocity are predicted near the lower and upper bounds for the scaling
 regime and the positions of the bounds could be good markers for the
 development of tough polymers, for which we provide simple views that could be
 useful as guiding principles for toughening polymer-based materials.",0,1,0,0,0,0,
173,A note on the fundamental group of Kodaira fibrations,"The fundamental group $\pi$ of a Kodaira fibration is, by definition, the
 extension of a surface group $\Pi_b$ by another surface group $\Pi_g$, i.e. \[
 1 \rightarrow \Pi_g \rightarrow \pi \rightarrow \Pi_b \rightarrow 1. \]
 Conversely, we can inquire about what conditions need to be satisfied by a
 group of that sort in order to be the fundamental group of a Kodaira fibration.
 In this short note we collect some restriction on the image of the classifying
 map $m \colon \Pi_b \to \Gamma_g$ in terms of the coinvariant homology of
 $\Pi_g$. In particular, we observe that if $\pi$ is the fundamental group of a
 Kodaira fibration with relative irregularity $g-s$, then $g \leq 1+ 6s$, and we
 show that this effectively constrains the possible choices for $\pi$, namely
 that there are group extensions as above that fail to satisfy this bound, hence
 cannot be the fundamental group of a Kodaira fibration. In particular this
 provides examples of symplectic $4$--manifolds that fail to admit a K??hler
 structure for reasons that eschew the usual obstructions.",0,0,1,0,0,0,
174,Photo-Chemically Directed Self-Assembly of Carbon Nanotubes on Surfaces,"Transistors incorporating single-wall carbon nanotubes (CNTs) as the channel
 material are used in a variety of electronics applications. However, a
 competitive CNT-based technology requires the precise placement of CNTs at
 predefined locations of a substrate. One promising placement approach is to use
 chemical recognition to bind CNTs from solution at the desired locations on a
 surface. Producing the chemical pattern on the substrate is challenging. Here
 we describe a one-step patterning approach based on a highly photosensitive
 surface monolayer. The monolayer contains chromophopric group as light
 sensitive body with heteroatoms as high quantum yield photolysis center. As
 deposited, the layer will bind CNTs from solution. However, when exposed to
 ultraviolet (UV) light with a low dose (60 mJ/cm2) similar to that used for
 conventional photoresists, the monolayer cleaves and no longer binds CNTs.
 These features allow standard, wafer-scale UV lithography processes to be used
 to form a patterned chemical monolayer without the need for complex substrate
 patterning or monolayer stamping.",0,1,0,0,0,0,
175,Split-and-augmented Gibbs sampler - Application to large-scale inference problems,"This paper derives two new optimization-driven Monte Carlo algorithms
 inspired from variable splitting and data augmentation. In particular, the
 formulation of one of the proposed approaches is closely related to the
 alternating direction method of multipliers (ADMM) main steps. The proposed
 framework enables to derive faster and more efficient sampling schemes than the
 current state-of-the-art methods and can embed the latter. By sampling
 efficiently the parameter to infer as well as the hyperparameters of the
 problem, the generated samples can be used to approximate Bayesian estimators
 of the parameters to infer. Additionally, the proposed approach brings
 confidence intervals at a low cost contrary to optimization methods.
 Simulations on two often-studied signal processing problems illustrate the
 performance of the two proposed samplers. All results are compared to those
 obtained by recent state-of-the-art optimization and MCMC algorithms used to
 solve these problems.",0,0,0,1,0,0,
176,Does a generalized Chaplygin gas correctly describe the cosmological dark sector?,"Yes, but only for a parameter value that makes it almost coincide with the
 standard model. We reconsider the cosmological dynamics of a generalized
 Chaplygin gas (gCg) which is split into a cold dark matter (CDM) part and a
 dark energy (DE) component with constant equation of state. This model, which
 implies a specific interaction between CDM and DE, has a $\Lambda$CDM limit and
 provides the basis for studying deviations from the latter. Including matter
 and radiation, we use the (modified) CLASS code \cite{class} to construct the
 CMB and matter power spectra in order to search for a gCg-based concordance
 model that is in agreement with the SNIa data from the JLA sample and with
 recent Planck data. The results reveal that the gCg parameter $\alpha$ is
 restricted to $|\alpha|\lesssim 0.05$, i.e., to values very close to the
 $\Lambda$CDM limit $\alpha =0$. This excludes, in particular, models in which
 DE decays linearly with the Hubble rate.",0,1,0,0,0,0,
177,The effects of subdiffusion on the NTA size measurements of extracellular vesicles in biological samples,"The interest in the extracellular vesicles (EVs) is rapidly growing as they
 became reliable biomarkers for many diseases. For this reason, fast and
 accurate techniques of EVs size characterization are the matter of utmost
 importance. One increasingly popular technique is the Nanoparticle Tracking
 Analysis (NTA), in which the diameters of EVs are calculated from their
 diffusion constants. The crucial assumption here is that the diffusion in NTA
 follows the Stokes-Einstein relation, i.e. that the Mean Square Displacement
 (MSD) of a particle grows linearly in time (MSD $\propto t$). However, we show
 that NTA violates this assumption in both artificial and biological samples,
 i.e. a large population of particles show a strongly sub-diffusive behaviour
 (MSD $\propto t^\alpha$, $0<\alpha<1$). To support this observation we present
 a range of experimental results for both polystyrene beads and EVs. This is
 also related to another problem: for the same samples there exists a huge
 discrepancy (by the factor of 2-4) between the sizes measured with NTA and with
 the direct imaging methods, such as AFM. This can be remedied by e.g. the
 Finite Track Length Adjustment (FTLA) method in NTA, but its applicability is
 limited in the biological and poly-disperse samples. On the other hand, the
 models of sub-diffusion rarely provide the direct relation between the size of
 a particle and the generalized diffusion constant. However, we solve this last
 problem by introducing the logarithmic model of sub-diffusion, aimed at
 retrieving the size data. In result, we propose a novel protocol of NTA data
 analysis. The accuracy of our method is on par with FTLA for small
 ($\simeq$200nm) particles. We apply our method to study the EVs samples and
 corroborate the results with AFM.",0,1,0,0,0,0,
178,Empirical regression quantile process with possible application to risk analysis,"The processes of the averaged regression quantiles and of their modifications
 provide useful tools in the regression models when the covariates are not fully
 under our control. As an application we mention the probabilistic risk
 assessment in the situation when the return depends on some exogenous
 variables. The processes enable to evaluate the expected $\alpha$-shortfall
 ($0\leq\alpha\leq 1$) and other measures of the risk, recently generally
 accepted in the financial literature, but also help to measure the risk in
 environment analysis and elsewhere.",0,0,1,1,0,0,
